Vuln ID,Rule ID,Group ID,STIG ID,Title,Severity,Check Text,Fix Text,CCI References,References,Tags,Raw ID
V-221558,SV-221558r960804_rule,V-221558,DTBC-0001,Firewall traversal from remote host must be disabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If RemoteAccessHostFirewallTraversal is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding. Windows registry: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the RemoteAccessHostFirewallTraversal value name does not exist or its value data is not set to 0, then this is a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative\Templates\Google\Google Chrome\Remote Access Policy Name: Enable firewall traversal from remote access host Policy State: Disabled Policy Value: N/A,CCI-001414,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Remote connections should never be allowed that bypass the firewall, as there is no way to verify if they can be trusted. Enables usage of STUN and relay servers when remote clients are trying to establish a connection to this machine. If this setting is enabled, then remote clients can discover and connect to this machine even if they are separated by a firewall. If this setting is disabled and outgoing UDP connections are filtered by the firewall, then this machine will only allow connections from client machines within the local network. If this policy is left not set the setting will be enabled.",IAM; Remote Access; Network Security; Windows; GPO; Registry; Browser Security,SV-221558r960804_rule
V-221559,SV-221559r961083_rule,V-221559,DTBC-0002,Site tracking users location must be disabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If DefaultGeolocationSetting is not displayed under the Policy Name column or it is not set to 2, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the DefaultGeolocationSetting value name does not exist or its value data is not set to 2, then this is a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Content Settings\ Policy Name: Default geolocation setting Policy State: Enabled Policy Value: Do not allow any site to track the users' physical location,CCI-001166,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Website tracking is the practice of gathering information as to which websites were accesses by a browser. The common method of doing this is to have a website create a tracking cookie on the browser. If the information of what sites are being accessed is made available to unauthorized persons, this violates confidentiality requirements, and over time poses a significant OPSEC issue. This policy setting allows you to set whether websites are allowed to track the user’s physical location. Tracking the user’s physical location can be allowed by default, denied by default or the user can be asked every time a website requests the physical location. 1 = Allow sites to track the user’s physical location 2 = Do not allow any site to track the user’s physical location 3 = Ask whenever a site wants to track the user’s physical location",IAM; Windows; GPO; Registry; Browser Security,SV-221559r961083_rule
V-221561,SV-221561r960963_rule,V-221561,DTBC-0004,Sites ability to show pop-ups must be disabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If DefaultPopupsSetting is not displayed under the Policy Name column or it is not set to 2, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the value name DefaultPopupsSetting does not exist or its value data is not set to 2, then this is a finding. Note: If AO Approved exceptions to this rule have been enabled, this is not a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Content Settings\ Policy Name: Default popups setting Policy State: Enabled Policy Value: Do not allow any site to show popups,CCI-000381,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Chrome allows you to manage whether unwanted pop-up windows appear. Pop-up windows that are opened when the end user clicks a link are not blocked. If you enable this policy setting, most unwanted pop-up windows are prevented from appearing. If you disable this policy setting, pop-up windows are not prevented from appearing. If you disable this policy setting, scripts can continue to create pop-up windows, and pop-ups that hide other windows. Recommend configuring this setting to ‘2’ to help prevent malicious websites from controlling the pop-up windows or fooling users into clicking on the wrong window. If you do not configure this policy setting, most unwanted pop-up windows are prevented from appearing. If this policy is left not set, 'BlockPopups' will be used and the user will be able to change it. 1 = Allow all sites to show pop-ups 2 = Do not allow any site to show pop-ups",IAM; Windows; GPO; Registry; Browser Security,SV-221561r960963_rule
V-221562,SV-221562r960879_rule,V-221562,DTBC-0005,Extensions installation must be blocklisted by default.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If ExtensionInstallBlocklist is not displayed under the Policy Name column or it is not set to * under the Policy Value column, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ExtensionInstallBlocklist 3. If the a registry value name of 1 does not exist under that key or its value is not set to *, then this is a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Extensions\ Policy Name: Configure extension installation blocklist Policy State: Enabled Policy Value: *,CCI-000169,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Extensions are developed by third party sources and are designed to extend Google Chrome's functionality. An extension can be made by anyone, to do and access almost anything on a system; this means they pose a high risk to any system that would allow all extensions to be installed by default. Allows you to specify which extensions the users can NOT install. Extensions already installed will be removed if blocklisted. A blocklist value of '*' means all extensions are blocklisted unless they are explicitly listed in the allowlist. If this policy is left not set the user can install any extension in Google Chrome.",IAM; Windows; GPO; Registry; Browser Security,SV-221562r960879_rule
V-221563,SV-221563r1015468_rule,V-221563,DTBC-0006,Extensions that are approved for use must be allowlisted.,low,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If ExtensionInstallAllowlist is not displayed under the Policy Name column or it is not set to oiigbmnaadbkfbmpbfijlflahbdbdgdf or a list of administrator approved extension IDs, then this is a finding. Windows method: 1. Start regedit 2. Navigate to the key HKLM\Software\Policies\Google\Chrome\ExtensionInstallAllowlist 3. If the ExtensionInstallAllowlist key is not set to 1 and oiigbmnaadbkfbmpbfijlflahbdbdgdf or a list of administrator-approved extension IDs, then this is a finding.","Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Extensions\ Policy Name: Configure extension installation allowlist Policy State: Enabled Policy Value: oiigbmnaadbkfbmpbfijlflahbdbdgdf Note: oiigbmnaadbkfbmpbfijlflahbdbdgdfis the extension ID for scriptno (a commonly used Chrome extension), other extension IDs may vary.",CCI-001170,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: The allowlist should only contain organizationally approved extensions. This is to prevent a user from accidently allowlisitng a malicious extension. This policy allows you to specify which extensions are not subject to the blacklist. A blacklist value of ‘*’ means all extensions are blacklisted and users can only install extensions listed in the allowlist. By default, no extensions are allowlisted. If all extensions have been blacklisted by policy, then the allowlist policy can be used to allow specific extensions to be installed. Administrators should determine which extensions should be allowed to be installed by their users. If no extensions are allowlisted, then no extensions can be installed when combined with blacklisting all extensions.",IAM; Windows; GPO; Registry; Browser Security,SV-221563r1015468_rule
V-221564,SV-221564r960963_rule,V-221564,DTBC-0007,The default search providers name must be set.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If DefaultSearchProviderName is displayed under the Policy Name column or it is not set to an organization approved encrypted search provider that corresponds to the encrypted search provider set in DTBC-0008(ex. Google Encrypted, Bing Encrypted) under the Policy Value column, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the DefaultSearchProviderName value name does not exist or it is not set to an organization approved encrypted search provider that corresponds to the encrypted search provider set in DTBC-0008(ex. Google Encrypted, Bing Encrypted), then this is a finding.","Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Default search provider\ Policy Name: Default search provider name Policy State: Enabled Policy Value: set to an organization approved encrypted search provider that corresponds to the encrypted search provider set in DTBC-0008(ex. Google Encrypted, Bing Encrypted)",CCI-000381,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Specifies the name of the default search provider that is to be used, if left empty or not set, the host name specified by the search URL will be used. This policy is only considered if the 'DefaultSearchProviderEnabled' policy is enabled. When doing internet searches it is important to use an encrypted connection via https.",IAM; Windows; GPO; Registry; Browser Security,SV-221564r960963_rule
V-221565,SV-221565r960963_rule,V-221565,DTBC-0008,The default search provider URL must be set to perform encrypted searches.,medium,"If the system is on the SIPRNet, this requirement is NA. Universal method: 1. In the omnibox (address bar) type chrome://policy. 2. If DefaultSearchProviderSearchURL is not displayed under the Policy Name column or it is not set to an organization-approved encrypted search string (ex. https://www.google.com/search?q={searchTerms} or https://www.bing.com/search?q={searchTerms} ) under the Policy Value column, this is a finding. Windows method: 1. Start regedit. 2. Navigate to HKLM\Software\Policies\Google\Chrome\. 3. If the DefaultSearchProviderSearchURL value name does not exist or its value data is not set to an organization-approved encrypted search string (ex. https://www.google.com/search?q={searchTerms} or https://www.bing.com/search?q={searchTerms} ), this is a finding.","If the system is on the SIPRNet, this requirement is NA. Windows group policy: 1. Open the group policy editor tool with gpedit.msc. 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Default search provider\. - Policy Name: Default search provider search URL - Policy State: Enabled - Policy Value: Must be set to an organization-approved encrypted search string (ex. https://www.google.com/search?q={searchTerms} or https://www.bing.com/search?q={searchTerms} )",CCI-000381,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Specifies the URL of the search engine used when doing a default search. The URL should contain the string '{searchTerms}', which will be replaced at query time by the terms the user is searching for. This option must be set when the 'DefaultSearchProviderEnabled' policy is enabled and will only be respected if this is the case. When doing internet searches it is important to use an encrypted connection via https.",IAM; Windows; GPO; Registry; Browser Security,SV-221565r960963_rule
V-221566,SV-221566r960963_rule,V-221566,DTBC-0009,Default search provider must be enabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If DefaultSearchProviderEnabled is not displayed under the Policy Name column or it is not set to true under the Policy Value column, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the DefaultSearchProviderEnabled value name does not exist or its value data is not set to 1, then this is a finding. Note: This policy will only display in the chrome://policy tab on domain joined systems. On standalone systems, the policy will not display.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Default search provider\ Policy Name: Enable the default search provider Policy State: Enabled Policy Value: N/A,CCI-000381,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Policy enables the use of a default search provider. If you enable this setting, a default search is performed when the user types text in the omnibox that is not a URL. You can specify the default search provider to be used by setting the rest of the default search policies. If these are left empty, the user can choose the default provider. If you disable this setting, no search is performed when the user enters non-URL text in the omnibox. If you enable or disable this setting, users cannot change or override this setting in Google Chrome. If this policy is left not set, the default search provider is enabled, and the user will be able to set the search provider list.",IAM; Windows; GPO; Registry; Browser Security,SV-221566r960963_rule
V-221567,SV-221567r960963_rule,V-221567,DTBC-0011,The Password Manager must be disabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If PasswordManagerEnabled is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the PasswordManagerEnabled value name does not exist or its value data is not set to 0, then this is a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Password Manager\ Policy Name: Enable Saving Passwords to the Password Manager Policy State: Disabled Policy Value: N/A,CCI-000381,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Enables saving passwords and using saved passwords in Google Chrome. Malicious sites may take advantage of this feature by using hidden fields gain access to the stored information. If you enable this setting, users can have Google Chrome memorize passwords and provide them automatically the next time they log in to a site. If you disable this setting, users are not able to save passwords or use already saved passwords. If you enable or disable this setting, users cannot change or override this setting in Google Chrome. If this policy is left not set, this will be enabled but the user will be able to change it. ListPassword manager should not be used as it stores passwords locally.",IAM; Audit Logging; Password Policy; Windows; GPO; Registry; Browser Security,SV-221567r960963_rule
V-221570,SV-221570r960921_rule,V-221570,DTBC-0017,Background processing must be disabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If BackgroundModeEnabled is not displayed under the Policy Name column and it is not set to false under the Policy Value column, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the BackgroundModeEnabled value name does not exist or its value data is not set to 0, then this is a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\ Policy Name: Continue running background apps when Google Chrome is closed Policy State: Disabled Policy Value: N/A,CCI-001695,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Determines whether a Google Chrome process is started on OS login that keeps running when the last browser window is closed, allowing background apps to remain active. The background process displays an icon in the system tray and can always be closed from there. If this policy is set to True, background mode is enabled and cannot be controlled by the user in the browser settings. If this policy is set to False, background mode is disabled and cannot be controlled by the user in the browser settings. If this policy is left unset, background mode is initially disabled and can be controlled by the user in the browser settings.' - Google Chrome Administrators Policy ListThis setting, if enabled, allows Google Chrome to run at all times. There is two reasons that this is not wanted. First, it can tie up system resources that might otherwise be needed. Second, it does not make it obvious to the user that it is running and poorly written extensions could cause instability on the system.",IAM; Windows; GPO; Registry; Browser Security,SV-221570r960921_rule
V-221571,SV-221571r987620_rule,V-221571,DTBC-0020,Google Data Synchronization must be disabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If SyncDisabled is not displayed under the Policy Name column or it is not set to true under the Policy Value column, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the SyncDisabled value name does not exist or its value data is not set to 1, then this is a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\ Policy Name: Disable synchronization of data with Google Policy State: Enabled Policy Value: N/A,CCI-001374,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Disables data synchronization in Google Chrome using Google-hosted synchronization services and prevents users from changing this setting. If you enable this setting, users cannot change or override this setting in Google Chrome. If this policy is left not set the user will be able to enable Google Sync. Google Sync is used to sync information between different user devices, this data is then stored on Google owned servers. The synced data may consist of information such as email, calendars, viewing history, etc. This feature must be disabled because the organization does not have control over the servers the data is stored on.",IAM; Windows; GPO; Registry; Browser Security,SV-221571r987620_rule
V-221572,SV-221572r960963_rule,V-221572,DTBC-0021,The URL protocol schema javascript must be disabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy. 2. If URLBlocklist is not displayed under the Policy Name column or it is not set to javascript://* under the Policy Value column, this is a finding. Windows method: 1. Start regedit. 2. Navigate to HKLM\Software\Policies\Google\Chrome\URLBlocklist. 3. If the URLBlocklist key does not exist, or the does not contain entries 1 set to javascript://*, this is a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc. 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\ Policy Name: Block access to a list of URLs. - Policy State: Enabled - Policy Value 1: javascript://*,CCI-000381,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Each access to a URL is handled by the browser according to the URL's ""scheme"". The ""scheme"" of a URL is the section before the "":"". The term ""protocol"" is often mistakenly used for a ""scheme"". The difference is that the scheme is how the browser handles a URL and the protocol is how the browser communicates with a service. If a scheme or its associated protocol used by a browser is insecure or obsolete, vulnerabilities can be exploited resulting in exposed data or unrestricted access to the browser's system. The browser must be configured to disable the use of insecure and obsolete schemas (protocols). This policy disables the listed protocol schemes in Google Chrome, URLs using a scheme from this list will not load and cannot be navigated to. If this policy is left not set or the list is empty all schemes will be accessible in Google Chrome.",IAM; Windows; GPO; Registry; Browser Security,SV-221572r960963_rule
V-221573,SV-221573r987620_rule,V-221573,DTBC-0023,Cloud print sharing must be disabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If CloudPrintProxyEnabled is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the CloudPrintProxyEnabled value name does not exist or its value data is not set to 0, then this is a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Printing Policy Name: Enable Google Cloud Print proxy Policy State: Disabled Policy Value: N/A,CCI-001374,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Policy enables Google Chrome to act as a proxy between Google Cloud Print and legacy printers connected to the machine. If this setting is enabled or not configured, users can enable the cloud print proxy by authentication with their Google account. If this setting is disabled, users cannot enable the proxy, and the machine will not be allowed to share it’s printers with Google Cloud Print. If this policy is not set, this will be enabled but the user will be able to change it.",IAM; Windows; GPO; Registry; Cloud; Browser Security,SV-221573r987620_rule
V-221574,SV-221574r961863_rule,V-221574,DTBC-0025,Network prediction must be disabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If ""NetworkPredictionOptions"" is not displayed under the “Policy Name” column or it is not set to ""2"" under the “Policy Value” column, this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the ""NetworkPredictionOptions"" value name does not exist or its value data is not set to ""2,"" this is a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\ Policy Name: Enable network prediction Policy State: Enabled Policy Value: Do not predict network actions on any network connection,CCI-000366,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Enables network prediction in Google Chrome and prevents users from changing this setting. If you enable or disable this setting, users cannot change or override this setting in Google Chrome. If this policy is left not set, this will be disabled but the user will be able to change it.",IAM; Network Security; Windows; GPO; Registry; Browser Security,SV-221574r961863_rule
V-221575,SV-221575r960963_rule,V-221575,DTBC-0026,Metrics reporting to Google must be disabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If MetricsReportingEnabled is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the MetricsReportingEnabled value name does not exist or its value data is not set to 0, then this is a finding. Note: This policy will only display in the chrome://policy tab on domain joined systems. On standalone systems, the policy will not display.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\ Policy Name: Enable reporting of usage and crash-related data Policy State: Disabled Policy Value: N/A,CCI-000381,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Enables anonymous reporting of usage and crash-related data about Google Chrome to Google and prevents users from changing this setting. If you enable this setting, anonymous reporting of usage and crash-related data is sent to Google. A crash report could contain sensitive information from the computer's memory. If you disable this setting, anonymous reporting of usage and crash-related data is never sent to Google. If you enable or disable this setting, users cannot change or override this setting in Google Chrome. If this policy is left not set the setting will be what the user chose upon installation / first run.",IAM; Windows; GPO; Registry; Browser Security,SV-221575r960963_rule
V-221576,SV-221576r960963_rule,V-221576,DTBC-0027,Search suggestions must be disabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If SearchSuggestEnabled is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the SearchSuggestEnabled value name does not exist or its value data is not set to 0, then this is a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\ Policy Name: Enable search suggestions Policy State: Disabled Policy Value: N/A,CCI-000381,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Search suggestion should be disabled as it could lead to searches being conducted that were never intended to be made. Enables search suggestions in Google Chrome's omnibox and prevents users from changing this setting. If you enable this setting, search suggestions are used. If you disable this setting, search suggestions are never used. If you enable or disable this setting, users cannot change or override this setting in Google Chrome. If this policy is left not set, this will be enabled but the user will be able to change it.",IAM; Windows; GPO; Registry; Browser Security,SV-221576r960963_rule
V-221577,SV-221577r960963_rule,V-221577,DTBC-0029,Importing of saved passwords must be disabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If ImportSavedPasswords is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the ImportSavedPasswords value name does not exist or its value data is not set to 0, then this is a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\ Policy Name: Import saved passwords from default browser on first run Policy State: Disabled Policy Value: N/A,CCI-000381,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Importing of saved passwords should be disabled as it could lead to unencrypted account passwords stored on the system from another browser to be viewed. This policy forces the saved passwords to be imported from the previous default browser if enabled. If enabled, this policy also affects the import dialog. If disabled, the saved passwords are not imported. If it is not set, the user may be asked whether to import, or importing may happen automatically.",IAM; Windows; GPO; Registry; Browser Security,SV-221577r960963_rule
V-221578,SV-221578r960864_rule,V-221578,DTBC-0030,Incognito mode must be disabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If IncognitoModeAvailability is not displayed under the Policy Name column or it is not set to 1 under the Policy Value column, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the IncognitoModeAvailability value name does not exist or its value data is not set to 1, then this is a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\ Policy Name: Incognito mode availability Policy State: Enabled Policy Value: Incognito mode disabled,CCI-000166,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Incognito mode allows the user to browse the Internet without recording their browsing history/activity. From a forensics perspective, this is unacceptable. Best practice requires that browser history is retained. The ""IncognitoModeAvailability"" setting controls whether the user may utilize Incognito mode in Google Chrome. If 'Enabled' is selected or the policy is left unset, pages may be opened in Incognito mode. If 'Disabled' is selected, pages may not be opened in Incognito mode. If 'Forced' is selected, pages may be opened ONLY in Incognito mode. 0 = Incognito mode available. 1 = Incognito mode disabled. 2 = Incognito mode forced.",IAM; Windows; GPO; Registry; Browser Security,SV-221578r960864_rule
V-221579,SV-221579r961893_rule,V-221579,DTBC-0037,Online revocation checks must be performed.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If EnableOnlineRevocationChecks is not displayed under the Policy Name column or it is not set to true under the Policy Value column, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the EnableOnlineRevocationChecks value name does not exist or its value data is not set to 1, then this is a finding.",Windows group policy: 1. Open the group policy editor tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\ Policy Name: Enable online OCSP/CRL checks Policy State: Enabled Policy Value: N/A,CCI-000185,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: By setting this policy to true, the previous behavior is restored and online OCSP/CRL checks will be performed. If the policy is not set, or is set to false, then Chrome will not perform online revocation checks. Certificates are revoked when they have been compromised or are no longer valid, and this option protects users from submitting confidential data to a site that may be fraudulent or not secure.",IAM; Windows; GPO; Registry; Browser Security,SV-221579r961893_rule
V-221580,SV-221580r961083_rule,V-221580,DTBC-0038,Safe Browsing must be enabled.,medium,"Universal method: 1. In the omnibox (address bar) type chrome://policy 2. If SafeBrowsingProtectionLevel is not displayed under the Policy Name column or it is not set to 1 or 2 under the Policy Value column, then this is a finding. Windows method: 1. Start regedit 2. Navigate to HKLM\Software\Policies\Google\Chrome\ 3. If the SafeBrowsingProtectionLevel value name does not exist or its value data is not set to 1 or 2, then this is a finding.","Windows group policy: 1. Open the “group policy editor” tool with gpedit.msc 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Safe Browsing Settings Policy Name: Safe Browsing Protection Level Policy State: Enabled Policy Value: ""(1) Safe Browsing is active in the standard mode"", or ""(2) Safe Browsing is active in the enhanced mode. This mode provides better security, but requires sharing more browsing information with Google"".",CCI-001166,"DPMS Target Google Chrome Current Windows | DISA | DPMS Target | Google Chrome Current Windows | 4081; Documentable: false; FalseNegatives:; FalsePositives:; Mitigations:; SeverityOverrideGuidance:; VulnDiscussion: Allows you to control whether Google Chrome's Safe Browsing feature is enabled and the mode it operates in. If this policy is set to 'NoProtection' (value 0), Safe Browsing is never active. If this policy is set to 'StandardProtection' (value 1, which is the default), Safe Browsing is always active in the standard mode. If this policy is set to 'EnhancedProtection' (value 2), Safe Browsing is always active in the enhanced mode, which provides better security, but requires sharing more browsing information with Google.",IAM; Windows; GPO; Registry; Browser Security,SV-221580r961083_rule
